,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
2958,31,services,married,tertiary,no,309,yes,yes,unknown,7,may,294,1,-1,0,unknown
3336,37,self-employed,married,secondary,no,215,yes,no,unknown,6,jun,61,1,-1,0,unknown
900,33,technician,single,secondary,no,5235,no,no,cellular,7,aug,67,3,-1,0,unknown
86,41,technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown
2950,37,entrepreneur,married,tertiary,no,836,yes,no,unknown,27,may,129,2,-1,0,unknown
689,30,technician,single,tertiary,no,60,yes,yes,unknown,7,may,306,5,-1,0,unknown
1333,31,technician,single,secondary,no,628,yes,no,unknown,12,may,1083,2,-1,0,unknown
1306,49,services,married,secondary,no,5673,no,yes,cellular,4,aug,357,3,-1,0,unknown
1761,35,technician,married,secondary,no,251,yes,yes,unknown,1,jul,128,3,-1,0,unknown
1858,34,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,145,1,-1,0,unknown
4141,37,management,married,tertiary,no,0,no,no,cellular,11,mar,129,4,107,2,failure
657,64,retired,married,primary,no,43,no,no,cellular,11,mar,117,1,91,1,success
869,56,technician,married,secondary,no,150,yes,yes,cellular,11,may,102,6,349,1,failure
3552,58,retired,married,secondary,no,35,no,no,cellular,29,jul,336,7,-1,0,unknown
3926,56,retired,married,primary,no,-1,no,no,cellular,27,aug,89,23,-1,0,unknown
2282,44,blue-collar,single,primary,no,787,yes,no,unknown,30,may,570,2,-1,0,unknown
3230,32,blue-collar,single,secondary,no,2285,yes,no,unknown,14,may,413,2,-1,0,unknown
3421,65,housemaid,married,primary,no,2179,yes,no,cellular,4,sep,112,7,-1,0,unknown
2923,39,admin.,married,secondary,no,260,yes,no,cellular,17,apr,146,1,281,1,failure
1900,19,student,single,unknown,no,0,no,no,cellular,11,feb,123,3,-1,0,unknown
3854,49,technician,married,tertiary,no,1843,yes,no,cellular,25,may,269,1,-1,0,unknown
250,31,management,married,tertiary,no,395,yes,no,cellular,9,feb,155,3,-1,0,unknown
1921,43,technician,married,secondary,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown
4013,39,technician,married,unknown,no,839,no,no,unknown,30,may,825,2,-1,0,unknown
619,35,technician,married,tertiary,no,7050,no,no,cellular,11,aug,222,3,182,4,success
2311,57,management,married,tertiary,no,3431,yes,no,unknown,16,may,73,1,-1,0,unknown
1140,36,management,single,tertiary,no,3875,yes,no,unknown,27,may,21,5,-1,0,unknown
687,35,blue-collar,married,primary,no,-12,yes,no,unknown,12,may,212,5,-1,0,unknown
1118,60,retired,married,secondary,no,4820,no,no,unknown,5,jun,419,1,-1,0,unknown
4428,48,blue-collar,married,unknown,no,439,yes,no,cellular,2,feb,212,1,249,2,other
1418,38,services,single,secondary,no,2253,yes,no,cellular,13,may,937,3,-1,0,unknown
3745,23,services,single,secondary,no,250,yes,no,cellular,18,may,222,1,-1,0,unknown
2200,52,services,married,secondary,no,431,no,no,cellular,26,aug,73,17,-1,0,unknown
3955,34,services,married,secondary,no,0,yes,no,cellular,14,jul,78,4,-1,0,unknown
2518,30,technician,single,secondary,no,175,no,no,cellular,25,aug,167,4,-1,0,unknown
3021,43,blue-collar,married,primary,no,60,no,no,cellular,8,may,487,2,367,2,other
4235,44,management,single,tertiary,no,1424,yes,no,cellular,8,aug,201,2,-1,0,unknown
2131,35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,326,5,179,4,failure
921,34,management,married,tertiary,no,136,yes,no,cellular,22,apr,156,1,-1,0,unknown
518,34,management,married,tertiary,no,902,yes,no,cellular,14,may,159,1,367,2,other
1886,39,technician,divorced,secondary,no,902,yes,no,cellular,10,feb,691,2,180,5,failure
4303,46,technician,single,secondary,no,834,yes,no,cellular,11,jul,196,2,-1,0,unknown
382,59,retired,married,tertiary,no,9676,no,no,telephone,27,mar,234,2,-1,0,unknown
2765,53,retired,married,secondary,no,6095,yes,yes,cellular,14,may,410,5,-1,0,unknown
3636,36,management,divorced,tertiary,no,1057,no,no,cellular,5,feb,383,2,-1,0,unknown
3247,50,blue-collar,divorced,primary,no,1545,yes,no,cellular,20,nov,25,1,-1,0,unknown
710,46,blue-collar,married,primary,no,67,no,no,unknown,24,jun,9,1,-1,0,unknown
4259,32,services,single,secondary,no,48,yes,no,cellular,20,apr,8,3,-1,0,unknown
96,41,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown
3181,33,blue-collar,married,secondary,no,331,yes,no,cellular,14,may,178,7,365,5,other
1929,46,unemployed,single,tertiary,no,705,no,no,cellular,4,feb,398,1,-1,0,unknown
2019,51,blue-collar,married,primary,no,42,yes,no,cellular,12,may,51,2,342,3,failure
682,37,self-employed,married,secondary,no,4153,yes,no,cellular,31,jul,35,16,-1,0,unknown
2731,48,blue-collar,married,secondary,no,1159,yes,yes,cellular,15,may,1181,9,-1,0,unknown
3347,36,management,married,tertiary,no,340,yes,no,cellular,20,apr,68,2,-1,0,unknown
938,37,technician,married,secondary,no,1633,yes,no,unknown,19,may,229,3,-1,0,unknown
4195,30,housemaid,single,tertiary,no,868,no,no,cellular,7,aug,387,2,-1,0,unknown
2344,37,management,married,tertiary,no,0,yes,no,unknown,3,jun,247,13,-1,0,unknown
3756,42,services,married,secondary,no,96,yes,no,cellular,5,may,238,3,340,2,failure
2194,47,management,married,tertiary,no,-50,no,yes,cellular,7,jul,175,1,-1,0,unknown
2885,26,services,single,secondary,no,50,yes,no,cellular,12,aug,153,1,-1,0,unknown
1467,53,services,divorced,secondary,no,0,no,no,cellular,12,mar,80,2,-1,0,unknown
322,60,self-employed,single,tertiary,no,179,no,yes,cellular,29,jul,79,4,-1,0,unknown
640,57,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43,8,-1,0,unknown
394,33,blue-collar,married,secondary,no,43,yes,no,cellular,14,may,332,2,358,2,failure
2861,36,management,married,tertiary,no,0,yes,yes,unknown,3,jun,599,3,-1,0,unknown
3151,43,entrepreneur,married,secondary,no,59,no,no,unknown,13,may,437,2,-1,0,unknown
4479,39,admin.,single,secondary,no,163,yes,no,cellular,30,jan,107,2,-1,0,unknown
3431,28,student,single,secondary,no,153,no,no,cellular,23,jul,1124,2,-1,0,unknown
268,38,admin.,single,secondary,no,902,yes,no,telephone,31,jul,58,13,-1,0,unknown
1779,32,technician,single,tertiary,no,13711,yes,no,cellular,14,may,638,1,175,3,success
2100,35,management,single,tertiary,no,633,yes,no,cellular,17,apr,128,3,-1,0,unknown
2230,48,blue-collar,single,secondary,no,-552,no,yes,cellular,21,nov,150,2,-1,0,unknown
3119,28,technician,married,secondary,no,232,yes,yes,cellular,29,jan,72,1,261,1,failure
2042,43,blue-collar,married,secondary,no,625,yes,no,unknown,30,sep,175,1,-1,0,unknown
1551,33,blue-collar,married,primary,no,245,yes,yes,cellular,8,may,253,3,-1,0,unknown
1481,40,management,single,secondary,no,192,yes,no,unknown,16,may,71,11,-1,0,unknown
373,51,technician,married,secondary,no,-379,yes,no,cellular,5,aug,261,1,-1,0,unknown
679,44,housemaid,married,primary,no,3706,no,no,unknown,17,jun,209,3,-1,0,unknown
441,30,admin.,single,secondary,no,239,yes,no,cellular,7,may,115,3,-1,0,unknown
2469,57,retired,married,primary,no,1623,yes,yes,cellular,18,jul,246,1,-1,0,unknown
845,43,technician,married,secondary,no,-932,yes,no,cellular,16,apr,567,1,-1,0,unknown
4037,42,management,divorced,tertiary,no,0,no,no,unknown,19,may,131,2,-1,0,unknown
4397,35,blue-collar,married,secondary,no,305,yes,no,cellular,18,may,7,7,367,25,failure
933,38,blue-collar,married,secondary,no,361,yes,no,unknown,11,jun,601,1,-1,0,unknown
1852,50,technician,married,secondary,no,669,yes,no,unknown,2,jun,88,1,-1,0,unknown
1189,34,technician,single,secondary,no,201,no,no,cellular,22,jul,257,2,-1,0,unknown
3739,41,management,married,tertiary,no,437,yes,no,unknown,3,jun,14,21,-1,0,unknown
4429,45,unknown,married,primary,no,44,no,no,unknown,11,jun,81,1,-1,0,unknown
1517,53,unknown,married,unknown,no,13,no,no,telephone,28,jan,69,1,-1,0,unknown
4072,45,blue-collar,married,primary,no,0,no,no,unknown,23,may,574,5,-1,0,unknown
4331,48,management,married,tertiary,no,263,yes,no,unknown,5,may,350,2,-1,0,unknown
161,25,admin.,single,secondary,no,4590,yes,no,unknown,28,may,199,2,-1,0,unknown
1584,30,services,single,tertiary,no,3516,yes,no,unknown,29,may,447,4,-1,0,unknown
224,54,management,married,primary,no,1691,yes,no,cellular,20,nov,186,1,-1,0,unknown
2628,31,blue-collar,divorced,secondary,no,-452,yes,no,unknown,26,may,182,5,-1,0,unknown
3751,39,technician,married,secondary,no,116,no,no,cellular,24,aug,79,2,94,2,success
2759,34,blue-collar,married,secondary,no,1221,yes,no,cellular,6,may,182,1,90,8,failure
1653,53,blue-collar,married,primary,no,306,no,no,cellular,28,jul,388,3,181,1,success
1559,31,admin.,single,secondary,no,144,yes,no,unknown,4,jul,43,11,-1,0,unknown
66,31,services,married,secondary,no,338,yes,no,cellular,28,jan,155,1,-1,0,unknown
4351,39,management,single,secondary,no,36,no,no,cellular,29,aug,70,2,-1,0,unknown
3371,49,unemployed,married,tertiary,no,-471,yes,no,cellular,20,nov,77,3,185,7,failure
3782,50,blue-collar,married,secondary,no,2320,yes,no,cellular,7,apr,310,1,-1,0,unknown
739,46,services,married,secondary,no,1034,no,no,cellular,8,aug,109,2,-1,0,unknown
1782,31,blue-collar,single,secondary,no,-219,yes,no,unknown,30,may,66,2,-1,0,unknown
4370,57,blue-collar,married,primary,no,5431,yes,yes,unknown,6,may,383,1,-1,0,unknown
1544,35,management,married,tertiary,no,1100,no,yes,cellular,29,jan,127,2,-1,0,unknown
374,42,admin.,married,secondary,no,-396,yes,no,cellular,11,may,80,1,308,4,failure
215,42,management,married,tertiary,no,372,yes,no,cellular,3,aug,654,2,-1,0,unknown
2217,51,self-employed,married,tertiary,no,2007,no,no,unknown,16,jun,1021,1,-1,0,unknown
2627,33,technician,married,secondary,no,181,yes,yes,telephone,28,jul,265,2,-1,0,unknown
1145,59,self-employed,married,primary,no,0,yes,no,telephone,28,jul,97,2,-1,0,unknown
3747,37,blue-collar,married,secondary,no,140,yes,yes,cellular,7,may,490,1,-1,0,unknown
4275,53,management,married,tertiary,no,15,no,no,cellular,20,aug,921,2,-1,0,unknown
1157,55,blue-collar,married,unknown,no,23,no,no,cellular,13,aug,123,2,-1,0,unknown
2026,25,admin.,married,secondary,no,894,yes,no,unknown,28,may,328,1,-1,0,unknown
3001,43,management,married,secondary,no,-26,yes,no,unknown,16,may,343,1,-1,0,unknown
1778,56,management,married,tertiary,no,15520,no,no,cellular,18,nov,420,1,-1,0,unknown
4246,32,services,single,secondary,no,0,yes,no,cellular,31,jul,99,13,-1,0,unknown
2614,32,technician,single,tertiary,no,705,yes,no,cellular,20,apr,20,4,-1,0,unknown
4114,34,blue-collar,married,secondary,no,250,yes,no,unknown,29,may,193,6,-1,0,unknown
1818,48,technician,married,secondary,no,340,yes,no,cellular,28,jan,255,2,-1,0,unknown
2215,34,management,single,unknown,no,1534,yes,no,cellular,16,apr,156,1,147,7,other
3847,33,unemployed,divorced,secondary,no,385,no,no,telephone,27,aug,29,28,-1,0,unknown
2746,47,technician,married,secondary,no,1219,no,no,cellular,18,aug,697,4,-1,0,unknown
1278,54,blue-collar,married,secondary,no,-932,yes,no,unknown,7,may,799,1,-1,0,unknown
1423,51,admin.,divorced,secondary,no,467,yes,no,unknown,19,may,83,1,-1,0,unknown
2730,52,self-employed,married,secondary,no,9,no,yes,unknown,6,jun,44,1,-1,0,unknown
3180,30,services,married,secondary,no,0,yes,no,unknown,9,may,20,1,-1,0,unknown
1158,38,management,single,tertiary,no,1373,no,no,cellular,22,oct,119,4,-1,0,unknown
3036,73,retired,married,primary,no,279,no,no,cellular,28,jan,399,3,-1,0,unknown
3809,52,blue-collar,married,secondary,no,161,yes,no,unknown,13,may,274,2,-1,0,unknown
2874,29,blue-collar,single,secondary,no,555,yes,no,cellular,15,may,133,4,-1,0,unknown
3160,27,management,married,tertiary,no,802,no,no,cellular,22,sep,569,1,-1,0,unknown
4502,42,services,married,secondary,no,-91,yes,yes,cellular,5,feb,43,1,-1,0,unknown
1891,32,management,single,tertiary,no,656,yes,yes,cellular,20,apr,148,2,-1,0,unknown
2356,33,services,married,secondary,no,804,yes,yes,unknown,8,may,266,1,-1,0,unknown
2255,36,management,single,tertiary,no,1531,yes,no,cellular,8,may,81,3,170,1,failure
1979,31,unemployed,single,secondary,no,-186,yes,no,unknown,26,may,172,3,-1,0,unknown
220,53,retired,married,tertiary,no,-22,yes,no,cellular,31,jul,20,3,-1,0,unknown
2963,31,management,single,tertiary,no,12569,no,no,cellular,9,sep,344,1,295,1,failure
1919,34,admin.,married,tertiary,no,2552,yes,yes,cellular,25,sep,74,1,-1,0,unknown
1988,56,admin.,divorced,secondary,no,985,no,yes,cellular,18,aug,150,2,-1,0,unknown
409,54,admin.,married,secondary,no,0,no,no,cellular,28,jan,161,1,98,2,failure
1061,49,services,married,secondary,no,1122,no,no,cellular,4,aug,143,1,-1,0,unknown
609,46,technician,married,tertiary,no,342,yes,yes,cellular,5,may,84,1,-1,0,unknown
2213,24,student,single,secondary,no,822,no,no,cellular,27,oct,184,1,91,2,failure
4305,49,services,married,tertiary,no,306,yes,no,cellular,18,aug,285,7,-1,0,unknown
3683,42,blue-collar,married,secondary,no,179,yes,no,cellular,17,nov,96,1,-1,0,unknown
1867,47,technician,married,secondary,no,65,no,no,cellular,28,aug,118,8,-1,0,unknown
4346,44,technician,married,secondary,no,10888,yes,no,cellular,5,aug,163,1,-1,0,unknown
726,37,management,single,tertiary,no,509,yes,no,cellular,6,may,133,1,-1,0,unknown
1395,38,technician,married,tertiary,no,3234,no,no,cellular,18,nov,578,2,-1,0,unknown
2749,39,technician,married,secondary,no,994,no,no,cellular,5,feb,221,1,241,1,failure
353,50,management,married,tertiary,no,4,no,no,cellular,17,nov,223,1,96,2,failure
1758,30,blue-collar,married,primary,no,-336,no,no,cellular,10,jul,128,6,-1,0,unknown
3149,31,services,married,secondary,no,500,yes,no,unknown,6,jun,19,18,-1,0,unknown
464,32,blue-collar,married,secondary,no,889,yes,no,cellular,10,sep,185,1,99,5,success
3217,34,technician,married,secondary,no,50,no,no,cellular,11,aug,106,3,-1,0,unknown
3403,43,management,married,tertiary,no,348,no,yes,cellular,15,jul,88,3,-1,0,unknown
772,26,management,single,tertiary,no,350,no,no,cellular,8,jul,367,1,-1,0,unknown
3328,32,management,single,tertiary,no,112,yes,no,cellular,5,may,118,1,-1,0,unknown
4494,26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown
3818,53,services,divorced,secondary,no,765,yes,no,cellular,14,may,959,3,174,7,other
2881,42,services,married,tertiary,no,12223,yes,no,cellular,19,nov,36,1,-1,0,unknown
31,31,technician,married,secondary,no,171,no,no,cellular,27,aug,81,3,-1,0,unknown
3950,27,blue-collar,single,secondary,no,14,no,no,unknown,14,may,72,2,-1,0,unknown
3814,40,admin.,single,secondary,no,263,yes,no,unknown,6,may,231,1,-1,0,unknown
25,41,management,married,tertiary,no,5883,no,no,cellular,20,nov,182,2,-1,0,unknown
1943,40,admin.,divorced,secondary,no,212,no,no,unknown,7,jan,176,1,-1,0,unknown
3082,53,blue-collar,married,primary,no,1868,no,no,cellular,8,aug,156,4,-1,0,unknown
574,35,services,divorced,secondary,no,67,yes,no,cellular,5,may,192,2,-1,0,unknown
3775,41,management,divorced,tertiary,no,3355,no,no,cellular,14,oct,181,2,500,1,failure
1705,25,student,single,secondary,no,304,no,no,cellular,26,may,226,2,-1,0,unknown
2863,31,management,single,tertiary,no,385,yes,no,unknown,21,may,304,1,-1,0,unknown
2368,35,services,married,secondary,no,195,yes,no,cellular,17,apr,203,1,-1,0,unknown
3013,49,technician,married,tertiary,no,523,yes,no,cellular,3,mar,152,2,-1,0,unknown
3225,25,unemployed,married,secondary,no,157,yes,no,cellular,28,jul,33,31,-1,0,unknown
2323,40,self-employed,married,secondary,no,2,no,no,cellular,22,aug,197,5,-1,0,unknown
4129,33,technician,married,secondary,no,-163,yes,yes,cellular,8,aug,502,2,-1,0,unknown
1605,53,services,married,secondary,no,-2,yes,yes,cellular,16,apr,144,2,-1,0,unknown
2813,47,technician,married,secondary,no,1990,yes,yes,cellular,25,aug,108,4,-1,0,unknown
3079,59,technician,divorced,secondary,no,879,yes,no,unknown,26,may,228,1,-1,0,unknown
2291,42,admin.,married,secondary,no,0,no,no,unknown,19,jun,370,1,-1,0,unknown
4248,36,blue-collar,married,primary,no,398,yes,no,unknown,12,jun,278,1,-1,0,unknown
731,48,blue-collar,married,primary,no,1092,no,yes,cellular,18,nov,79,1,172,8,failure
839,37,entrepreneur,married,tertiary,no,4798,yes,no,unknown,20,may,156,2,-1,0,unknown
707,55,retired,married,primary,no,8894,no,no,unknown,11,jun,262,1,-1,0,unknown
3529,43,unknown,single,tertiary,no,2731,no,no,cellular,21,nov,11,7,-1,0,unknown
2420,34,self-employed,married,tertiary,no,5498,no,no,cellular,19,nov,265,1,-1,0,unknown
2887,35,technician,single,tertiary,no,470,yes,no,cellular,25,jul,743,13,-1,0,unknown
4358,47,admin.,single,secondary,no,2540,no,no,cellular,18,nov,110,5,-1,0,unknown
932,39,management,divorced,tertiary,no,3575,no,yes,cellular,18,aug,74,3,-1,0,unknown
343,41,self-employed,single,tertiary,no,3950,yes,no,unknown,30,may,96,2,-1,0,unknown
570,46,entrepreneur,married,unknown,no,242,yes,no,unknown,9,may,332,2,-1,0,unknown
3921,37,entrepreneur,married,tertiary,no,7944,no,no,cellular,21,nov,102,1,-1,0,unknown
97,30,admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure
1355,29,admin.,single,secondary,no,1448,no,no,cellular,10,mar,217,1,184,7,other
2732,45,technician,married,primary,no,-322,no,no,unknown,9,jun,225,2,-1,0,unknown
3605,27,management,single,tertiary,no,88,no,no,cellular,4,may,143,1,-1,0,unknown
491,33,services,divorced,secondary,no,991,yes,no,unknown,27,may,148,1,-1,0,unknown
2508,42,student,married,unknown,no,-7,no,no,telephone,31,jul,41,6,-1,0,unknown
1956,77,retired,married,primary,no,680,no,no,telephone,24,feb,513,2,89,7,failure
85,51,blue-collar,married,primary,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown
4069,45,services,divorced,secondary,no,-179,no,no,unknown,3,jul,155,2,-1,0,unknown
4016,37,management,married,tertiary,no,547,yes,yes,unknown,21,may,143,1,-1,0,unknown
4308,44,technician,married,secondary,no,5597,no,no,unknown,20,jun,27,3,-1,0,unknown
2484,26,self-employed,single,tertiary,no,1153,no,no,cellular,4,may,238,3,-1,0,unknown
2452,42,management,divorced,tertiary,no,401,yes,no,cellular,24,jul,217,9,-1,0,unknown
4319,70,retired,divorced,secondary,no,6850,no,no,telephone,5,mar,252,3,183,1,failure
3288,59,unemployed,divorced,secondary,no,2921,no,no,telephone,3,feb,251,1,-1,0,unknown
1710,43,unemployed,married,primary,no,960,yes,yes,unknown,15,may,241,2,-1,0,unknown
2377,35,technician,single,secondary,no,2,no,no,cellular,11,aug,239,4,-1,0,unknown
542,27,services,married,secondary,no,0,yes,no,cellular,23,jul,198,13,-1,0,unknown
2872,42,retired,single,tertiary,no,308,no,no,cellular,30,jan,114,2,-1,0,unknown
3206,60,housemaid,married,primary,no,0,no,yes,telephone,22,jul,124,1,-1,0,unknown
493,46,admin.,married,secondary,no,22,no,no,cellular,26,aug,388,6,-1,0,unknown
4293,33,blue-collar,single,secondary,no,1925,yes,no,cellular,2,mar,76,2,-1,0,unknown
2615,45,blue-collar,married,secondary,no,776,yes,no,cellular,6,feb,232,4,253,1,failure
2325,38,admin.,single,secondary,no,883,yes,no,cellular,12,may,95,1,327,9,other
3998,44,management,married,tertiary,no,724,yes,no,cellular,17,nov,157,2,172,1,failure
80,27,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown
720,48,entrepreneur,married,tertiary,no,810,no,no,unknown,6,jun,383,1,-1,0,unknown
2464,23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,-1,0,unknown
151,36,management,single,tertiary,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown
989,52,retired,divorced,primary,no,353,no,no,cellular,31,jul,395,4,-1,0,unknown
924,45,housemaid,married,primary,no,7353,no,no,cellular,13,aug,536,2,-1,0,unknown
1096,46,technician,married,tertiary,no,217,yes,no,cellular,14,may,141,1,346,2,other
3116,39,self-employed,married,secondary,no,235,no,no,unknown,9,jun,217,1,-1,0,unknown
3612,50,management,divorced,tertiary,no,356,no,no,cellular,8,may,198,2,358,5,other
3945,42,entrepreneur,married,tertiary,no,157,yes,yes,unknown,7,may,650,1,-1,0,unknown
1299,49,blue-collar,married,secondary,no,-55,no,no,unknown,17,jun,150,3,-1,0,unknown
1476,29,blue-collar,single,secondary,no,9,yes,no,cellular,11,may,262,3,-1,0,unknown
2486,50,unknown,married,unknown,no,558,no,no,cellular,9,jul,464,1,683,6,failure
3720,51,management,married,secondary,no,3180,yes,no,cellular,9,jul,384,1,-1,0,unknown
3467,42,management,divorced,tertiary,no,221,yes,no,unknown,7,may,720,2,-1,0,unknown
1130,29,management,married,tertiary,no,877,no,no,cellular,3,feb,166,3,-1,0,unknown
4515,32,services,single,secondary,no,473,yes,no,cellular,7,jul,624,5,-1,0,unknown
158,27,self-employed,single,secondary,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown
